,cep,cidade,uf,cep_5_digitos
255,93347335,Novo Hamburgo,RS,93347
256,50850275,Recife,PE,50850
257,54260311,Jaboatão dos Guararapes,PE,54260
258,76100970,São Luís de Montes Belos,GO,76100
259,58108232,Cabedelo,PB,58108
260,79833020,Dourados,MS,79833
261,77375970,Santa Rosa do Tocantins,TO,77375
262,21645521,Rio de Janeiro,RJ,21645
263,85580970,Itapejara d'Oeste,PR,85580
264,79075252,Campo Grande,MS,79075
265,85904645,Toledo,PR,85904
266,72621218,Brasília,DF,72621
267,72314701,Brasília,DF,72314
268,14340970,Brodowski,SP,14340
269,74363820,Goiânia,GO,74363
270,86043430,Londrina,PR,86043
271,27966560,Macaé,RJ,27966
272,29030027,Vitória,ES,29030
273,93125760,São Leopoldo,RS,93125
274,13025005,Campinas,SP,13025
275,24905010,Maricá,RJ,24905
276,89218100,Joinville,SC,89218
277,93225115,Sapucaia do Sul,RS,93225
278,06454070,Barueri,SP,06454
279,12608000,Lorena,SP,12608
280,21535630,Rio de Janeiro,RJ,21535
281,09861400,São Bernardo do Campo,SP,09861
282,59840970,Taboleiro Grande,RN,59840
283,12710080,Cruzeiro,SP,12710
284,88343112,Camboriú,SC,88343
285,58382970,Riachão do Bacamarte,PB,58382
286,21515000,Rio de Janeiro,RJ,21515
287,65180970,Humberto de Campos,MA,65180
288,45840970,Guaratinga,BA,45840
289,12223830,São José dos Campos,SP,12223
290,44950970,Uibaí,BA,44950
291,64915970,Redenção do Gurguéia,PI,64915
292,18211237,Itapetininga,SP,18211
293,55120990,Riacho das Almas,PE,55120
294,17128002,Agudos,SP,17128
295,19990480,Platina,SP,19990
296,79320108,Corumbá,MS,79320
297,65515970,Buriti,MA,65515
298,49036970,Aracaju,SE,49036
299,14940157,Ibitinga,SP,14940
300,78553553,Sinop,MT,78553
301,85064360,Guarapuava,PR,85064
302,40130120,Salvador,BA,40130
303,48330970,Rio Real,BA,48330
304,29580959,Dores do Rio Preto,ES,29580
305,34400971,Raposos,MG,34400
306,57048719,Maceió,AL,57048
307,36157970,Piau,MG,36157
308,72153511,Brasília,DF,72153
309,75526370,Itumbiara,GO,75526
310,35620970,Abaeté,MG,35620
311,09620040,São Bernardo do Campo,SP,09620
312,25638900,Petrópolis,RJ,25638
313,74503100,Goiânia,GO,74503
314,13660007,Porto Ferreira,SP,13660
315,35796391,Curvelo,MG,35796
316,23565225,Rio de Janeiro,RJ,23565
317,76873332,Ariquemes,RO,76873
318,09133185,Santo André,SP,09133
319,88113827,São José,SC,88113
320,25685250,Petrópolis,RJ,25685
321,17024611,Bauru,SP,17024
322,17260027,Itaju,SP,17260
323,23595010,Rio de Janeiro,RJ,23595
324,33120180,Santa Luzia,MG,33120
325,18683350,Lençóis Paulista,SP,18683
326,74405030,Goiânia,GO,74405
327,13805021,Mogi Mirim,SP,13805
328,65071428,São Luís,MA,65071
329,38745170,Patrocínio,MG,38745
330,29301661,Cachoeiro de Itapemirim,ES,29301
331,81690100,Curitiba,PR,81690
332,95589500,Guará,RS,95589
333,96193975,Chuvisca,RS,96193
334,35054180,Governador Valadares,MG,35054
335,22431002,Rio de Janeiro,RJ,22431
336,05515020,São Paulo,SP,05515
337,04844445,São Paulo,SP,04844
338,76873534,Ariquemes,RO,76873
339,97850970,Bossoroca,RS,97850
340,75930000,Maurilândia,GO,75930
341,12215900,São José dos Campos,SP,12215
342,21833045,Rio de Janeiro,RJ,21833
343,86730970,Astorga,PR,86730
344,09913130,Diadema,SP,09913
345,93600320,Estância Velha,RS,93600
346,96225970,São José do Norte,RS,96225
347,69921725,Rio Branco,AC,69921
348,88445970,Leoberto Leal,SC,88445
349,85650970,Santa Izabel do Oeste,PR,85650
350,95948971,Travesseiro,RS,95948
351,54580437,Cabo de Santo Agostinho,PE,54580
352,60050130,Fortaleza,CE,60050
353,79862970,São Pedro,MS,79862
354,45150970,Encruzilhada,BA,45150
355,87207302,Cianorte,PR,87207
356,78530970,Peixoto de Azevedo,MT,78530
357,51330469,Recife,PE,51330
358,79021455,Campo Grande,MS,79021
359,39827959,Poté,MG,39827
360,46640970,Ituaçu,BA,46640
361,88337010,Balneário Camboriú,SC,88337
362,69920193,Rio Branco,AC,69920
363,79490970,São Gabriel do Oeste,MS,79490
364,89860970,Marema,SC,89860
365,38748498,Patrocínio,MG,38748
366,78893118,Sorriso,MT,78893
367,91780001,Porto Alegre,RS,91780
368,41710635,Salvador,BA,41710
369,30760462,Belo Horizonte,MG,30760
370,31010245,Belo Horizonte,MG,31010
371,44770971,Pindobaçu,BA,44770
372,58955970,Serra Grande,PB,58955
373,58560970,Ouro Velho,PB,58560
374,29785970,Vila Valério,ES,29785
375,76806096,Porto Velho,RO,76806
376,77062002,Palmas,TO,77062
377,65770970,Governador Archer,MA,65770
378,60764652,Fortaleza,CE,60764
379,21852900,Rio de Janeiro,RJ,21852
380,59350970,Santana do Seridó,RN,59350
381,60175442,Fortaleza,CE,60175
382,65800970,Balsas,MA,65800
383,75140290,Anápolis,GO,75140
384,59122101,Natal,RN,59122
385,36610970,Pequeri,MG,36610
386,26131080,Belford Roxo,RJ,26131
387,20723230,Rio de Janeiro,RJ,20723
388,54759631,Camaragibe,PE,54759
389,39336971,Luislândia,MG,39336
390,73754801,Planaltina,GO,73754
391,72110015,Brasília,DF,72110
392,66610306,Belém,PA,66610
393,63111014,Crato,CE,63111
394,75132903,Anápolis,GO,75132
395,32657750,Betim,MG,32657
396,27155970,Vargem Alegre,RJ,27155
397,21530015,Rio de Janeiro,RJ,21530
398,12010280,Taubaté,SP,12010
399,15515024,Votuporanga,SP,15515
400,95130970,Santa Lúcia do Piaí,RS,95130
401,95390972,Pinhal da Serra,RS,95390
402,28695970,Papucaia,RJ,28695
403,53230710,Olinda,PE,53230
404,91798400,Porto Alegre,RS,91798
405,77885970,Santa Terezinha do Tocantins,TO,77885
406,76850970,Guajará-Mirim,RO,76850
407,75890000,São Simão,GO,75890
408,69900973,Rio Branco,AC,69900
409,28180971,Cardoso Moreira,RJ,28180
410,75730000,Davinópolis,GO,75730
411,78630971,Campinápolis,MT,78630
412,69917520,Rio Branco,AC,69917
413,45604388,Itabuna,BA,45604
414,89550970,Rio das Antas,SC,89550
415,78855970,Planalto da Serra,MT,78855
416,28053586,Campos dos Goytacazes,RJ,28053
417,87265970,Quinta do Sol,PR,87265
418,86088000,Londrina,PR,86088
419,66620260,Belém,PA,66620
420,28970735,Araruama,RJ,28970
421,07713145,Caieiras,SP,07713
422,37136088,Alfenas,MG,37136
423,60411135,Fortaleza,CE,60411
424,78085495,Cuiabá,MT,78085
425,59141560,Parnamirim,RN,59141
426,76987046,Vilhena,RO,76987
427,85485970,Três Barras do Paraná,PR,85485
428,49770970,Maruim,SE,49770
429,89190970,Taió,SC,89190
430,79500970,Paranaíba,MS,79500
431,11711790,Praia Grande,SP,11711
432,59140205,Parnamirim,RN,59140
433,17930902,Tupi Paulista,SP,17930
434,46580970,Tanque Novo,BA,46580
435,55014161,Caruaru,PE,55014
436,30710170,Belo Horizonte,MG,30710
437,41210895,Salvador,BA,41210
438,56395959,Lagoa Grande,PE,56395
439,17570970,Oriente,SP,17570
440,29230990,Anchieta,ES,29230
441,63021352,Juazeiro do Norte,CE,63021
442,33115650,Santa Luzia,MG,33115
443,63702750,Crateús,CE,63702
444,59910970,Doutor Severiano,RN,59910
445,25065007,Duque de Caxias,RJ,25065
446,24754400,São Gonçalo,RJ,24754
447,62755970,Ocara,CE,62755
448,86067100,Londrina,PR,86067
449,64785970,Dirceu Arcoverde,PI,64785
450,39403171,Montes Claros,MG,39403
451,64920970,Cristino Castro,PI,64920
452,44042609,Feira de Santana,BA,44042
453,59970970,Marcelino Vieira,RN,59970
454,79020901,Campo Grande,MS,79020
455,74515038,Goiânia,GO,74515
456,86360970,Bandeirantes,PR,86360
457,38015000,Uberaba,MG,38015
458,63038802,Juazeiro do Norte,CE,63038
459,35388972,Santo Antônio do Grama,MG,35388
460,74912015,Aparecida de Goiânia,GO,74912
461,74935198,Aparecida de Goiânia,GO,74935
462,79833021,Dourados,MS,79833
463,88139016,Palhoça,SC,88139
464,36985970,Chalé,MG,36985
465,69070020,Manaus,AM,69070
466,33927060,Ribeirão das Neves,MG,33927
467,07715060,Caieiras,SP,07715
468,41680022,Salvador,BA,41680
469,76825066,Porto Velho,RO,76825
470,52165041,Recife,PE,52165
