,cep_5_digitos,cidade,uf,lat,lon
160,85998,Mercedes,PR,-24.4504957,-54.1647255
161,19295,Planalto do Sul,SP,-22.29131275,-52.31758659358712
162,28945,São Pedro da Aldeia,RJ,-22.8384835,-42.1031604
163,55016,Caruaru,PE,-8.2829702,-35.9722852
164,83407,Colombo,PR,-25.309460299999998,-49.18507242898573
165,30670,Belo Horizonte,MG,-19.9227318,-43.9450948
166,38415,Uberlândia,MG,-18.9188041,-48.2767837
167,35606,Martinho Campos,MG,-19.331945,-45.236666
168,55580,Sirinhaém,PE,-8.591935,-35.1155161
169,05835,São Paulo,SP,-23.5506507,-46.6333824
170,84030,Ponta Grossa,PR,-25.0891685,-50.1601812
171,14940,Ibitinga,SP,-21.75623,-48.831903
172,89060,Blumenau,SC,-26.9195567,-49.0658025
173,21361,Rio de Janeiro,RJ,-22.9110137,-43.2093727
174,77890,Ananás,TO,-6.3663053,-48.080238
175,89709,Concórdia,SC,-27.2312011,-52.0231024
176,79920,Laguna Carapã,MS,-22.5549233,-55.1505549
177,54368,Jaboatão dos Guararapes,PE,-8.1752476,-34.9468716
178,37002,Varginha,MG,-21.5565914,-45.4340674
179,95870,Bom Retiro do Sul,RS,-29.6000007,-51.9359243
180,21746,Rio de Janeiro,RJ,-22.9110137,-43.2093727
181,76465,Montividiu do Norte,GO,-13.3489998,-48.6872789
182,37546,Cachoeira de Minas,MG,-22.3554043,-45.7796324
183,97670,São Borja,RS,-28.6592237,-56.0044295
184,74371,Goiânia,GO,-16.680882,-49.2532691
185,17920,Ouro Verde,SP,-21.4892638,-51.7025981
186,99490,Tapera,RS,-28.6262957,-52.8680873
187,72870,Valparaíso de Goiás,GO,-16.0686394,-47.9764907
188,58714,Condado,PB,-6.9092101,-37.5966375
189,27523,Resende,RJ,-22.4683626,-44.4463494
190,75066,Anápolis,GO,-16.3332828,-48.9525756
191,15506,Votuporanga,SP,-20.4252908,-49.972028
192,06774,Taboão da Serra,SP,-23.6121912,-46.7790539
193,68928,Santana,AP,-0.0307068,-51.1789666
194,69073,Manaus,AM,-3.1316333,-59.9825041
195,95420,Jaquirana,RS,-28.8836757,-50.3580098
196,52160,Recife,PE,-8.0584933,-34.8848193
197,22070,Rio de Janeiro,RJ,-22.9110137,-43.2093727
198,11420,Guarujá,SP,-23.9927768,-46.2558332
199,83060,São José dos Pinhais,PR,-25.533816,-49.2072163
200,56220,Bodocó,PE,-7.777592,-39.933797
201,24130,Niterói,RJ,-22.8832371,-43.1154552
202,71939,Brasília,DF,-15.7934036,-47.8823172
203,39390,Bocaiúva,MG,-17.1160208,-43.8122678
204,92110,Canoas,RS,-29.9216045,-51.1799525
205,74720,Goiânia,GO,-16.680882,-49.2532691
206,75070,Anápolis,GO,-16.3332828,-48.9525756
207,83055,São José dos Pinhais,PR,-25.533816,-49.2072163
208,32265,Contagem,MG,-19.9132749,-44.0840953
209,16350,Barbosa,SP,-21.265661,-49.951816
210,40296,Salvador,BA,-12.9822499,-38.4812772
211,69049,Manaus,AM,-3.1316333,-59.9825041
212,91770,Porto Alegre,RS,-30.0324999,-51.2303767
213,39495,Montalvânia,MG,-14.4230168,-44.3701782
214,57018,Maceió,AL,-9.6476843,-35.7339264
215,36505,Ubá,MG,-21.12,-42.942777
216,46900,Seabra,BA,-12.4172071,-41.772051
217,62170,Mucambo,CE,-3.9043285,-40.7454425
218,64520,Francinópolis,PI,-6.3962771,-42.2635654
219,66033,Belém,PA,-1.45056,-48.4682453
220,61655,Caucaia,CE,-3.7300563,-38.6593082
221,39630,Virgem da Lapa,MG,-16.8071554,-42.3376458
222,99702,Erechim,RS,-27.6350709,-52.2738654
223,24930,Maricá,RJ,-22.9057478,-42.789831397132616
224,29194,Aracruz,ES,-19.8245218,-40.2735025
225,45620,São José da Vitória,BA,-15.0790716,-39.3365369
