,cep_5_digitos,lat,lon
126,29057,-20.3200917,-40.3376682
127,28425,-21.77680475,-41.919543074622496
128,88990,-29.1966831,-49.9491971
129,79331,-19.0016365,-57.6534316
130,39893,-16.8669394,-41.2543539
131,28950,-22.7597805,-41.8875267
132,36090,-21.7609533,-43.3501129
133,60811,-3.7304512,-38.5217989
134,37413,-21.695625,-45.2543675
135,19300,-22.0064609,-51.5542973
136,87600,-23.1818437,-52.1999852
137,53700,-7.767983,-34.897136
138,12760,-22.570047,-44.902359
139,79806,-22.2206145,-54.812208
140,57270,-29.9436477,-50.88603224886543
141,95535,-29.5789455,-50.06336
142,85575,-25.7086966,-52.9189882
143,91787,-30.0324999,-51.2303767
144,28770,-21.9557957,-42.008283
145,12512,-22.8057839,-45.1908926
146,59158,-5.9153334,-35.2679913
147,88010,-27.5973002,-48.5496098
148,26032,-22.7592175,-43.4508728
149,75254,-16.7013233,-49.0914921
150,77600,-10.1752474,-48.886759
151,98500,-27.371058,-53.758484
152,64815,-7.7917152,-42.9236162
153,72315,-15.7934036,-47.8823172
154,68513,-5.3462821,-49.1007401
155,28990,-22.9257974,-42.507633
156,95895,-29.3866023,-51.8697911
157,71505,-15.7934036,-47.8823172
158,23821,-22.8629597,-43.775322
159,90520,-30.0324999,-51.2303767
160,85998,-24.4504957,-54.1647255
161,19295,-22.29131275,-52.31758659358712
162,28945,-22.8384835,-42.1031604
163,55016,-8.2829702,-35.9722852
164,83407,-25.309460299999998,-49.18507242898573
165,30670,-19.9227318,-43.9450948
166,38415,-18.9188041,-48.2767837
167,35606,-19.331945,-45.236666
168,55580,-8.591935,-35.1155161
169,05835,-23.5506507,-46.6333824
170,84030,-25.0891685,-50.1601812
171,14940,-21.75623,-48.831903
172,89060,-26.9195567,-49.0658025
173,21361,-22.9110137,-43.2093727
174,77890,-6.3663053,-48.080238
175,89709,-27.2312011,-52.0231024
176,79920,-22.5549233,-55.1505549
177,54368,-8.1752476,-34.9468716
178,37002,-21.5565914,-45.4340674
179,95870,-29.6000007,-51.9359243
180,21746,-22.9110137,-43.2093727
181,76465,-13.3489998,-48.6872789
182,37546,-22.3554043,-45.7796324
183,97670,-28.6592237,-56.0044295
184,74371,-16.680882,-49.2532691
185,17920,-21.4892638,-51.7025981
186,99490,-28.6262957,-52.8680873
187,72870,-16.0686394,-47.9764907
188,58714,-6.9092101,-37.5966375
189,27523,-22.4683626,-44.4463494
190,75066,-16.3332828,-48.9525756
191,15506,-20.4252908,-49.972028
192,06774,-23.6121912,-46.7790539
193,68928,-0.0307068,-51.1789666
194,69073,-3.1316333,-59.9825041
195,95420,-28.8836757,-50.3580098
196,52160,-8.0584933,-34.8848193
197,22070,-22.9110137,-43.2093727
198,11420,-23.9927768,-46.2558332
199,83060,-25.533816,-49.2072163
200,56220,-7.777592,-39.933797
201,24130,-22.8832371,-43.1154552
202,71939,-15.7934036,-47.8823172
203,39390,-17.1160208,-43.8122678
204,92110,-29.9216045,-51.1799525
205,74720,-16.680882,-49.2532691
206,75070,-16.3332828,-48.9525756
207,83055,-25.533816,-49.2072163
208,32265,-19.9132749,-44.0840953
209,16350,-21.265661,-49.951816
210,40296,-12.9822499,-38.4812772
211,69049,-3.1316333,-59.9825041
212,91770,-30.0324999,-51.2303767
213,39495,-14.4230168,-44.3701782
214,57018,-9.6476843,-35.7339264
215,36505,-21.12,-42.942777
216,46900,-12.4172071,-41.772051
217,62170,-3.9043285,-40.7454425
218,64520,-6.3962771,-42.2635654
219,66033,-1.45056,-48.4682453
220,61655,-3.7300563,-38.6593082
221,39630,-16.8071554,-42.3376458
222,99702,-27.6350709,-52.2738654
223,24930,-22.9057478,-42.789831397132616
224,29194,-19.8245218,-40.2735025
225,45620,-15.0790716,-39.3365369
226,59360,-6.7108694,-36.63082985065095
227,79825,-22.2206145,-54.812208
228,86030,-23.3112878,-51.1595023
229,19250,-22.4560782,-51.7634004
230,73368,-15.7934036,-47.8823172
231,59110,-5.805398,-35.2080905
232,09637,-23.7080345,-46.5506747
233,13904,-22.70111,-46.76444
234,38433,-18.9188041,-48.2767837
235,64595,-7.8316503,-40.9006904
236,15845,-21.2574769,-49.1314719
237,27535,-22.4683626,-44.4463494
238,89148,-26.878152,-49.832787
239,34700,-19.8900372,-43.8107916
240,74583,-16.680882,-49.2532691
241,02340,-23.5506507,-46.6333824
242,27258,-22.5225497,-44.1040128
243,09990,-23.681347,-46.62052
244,83760,-25.76709,-49.716777
245,15750,-20.0323485,-50.7278392
246,54335,-8.1752476,-34.9468716
247,44340,-12.624266,-38.9885844
248,55120,-8.1356327,-35.8566421
249,45029,-14.8567487,-40.8414804
250,39563,-16.0972405,-41.7474332
251,16201,-21.2908491,-50.34144
252,13042,-22.90556,-47.06083
253,35476,-20.471111,-44.226945
254,56140,-7.9476953,-39.2957383
255,13509,-22.4100108,-47.5603933
256,08673,-23.5427842,-46.3108391
